date;title;description
04/01/2026; Deus está no controle;
11/01/2026; Deus sabe de tudo;
18/01/2026; Deus está em todo lugar;
25/01/2026; Deus criou tudo;
01/02/2026; Deus está no controle;
08/02/2026; Deus sabe de tudo;
15/02/2026; Deus está em todo lugar;
22/02/2026; Deus criou tudo;
01/03/2026; Nascemos no pecado;
08/03/2026; Tentação;
15/03/2026; Adão 1° homem a pecar;
22/03/2026; O pecado gera separação;
29/03/2026; O pecado endurece o coração;
05/04/2026; O pecado de espalha;
12/04/2026; Jesus a nossa salvação;
19/04/2026; A ressurreição de Jesus derrotou a morte;
26/04/2026; Jesus morreu no meu lugar;
03/05/2026; Deus faz e mantém Sua promessa;
10/05/2026; Os 10 Mandamentos e a desobediência da Lei;
17/05/2026; O pecado e a santidade são coisas distintas;
24/05/2026; Jesus cumpriu toda a lei com seu sacrifício;
31/05/2026; O Filho de Deus vem e desce do Seu Trono;
07/06/2026; Jesus é completamente Deus;
14/06/2026; Jesus é completamente humano;
21/06/2026; Jesus sempre amou Deus e as pessoas;
28/06/2026; Jesus meu escape e segurança;
05/07/2026; Jesus deu uma direção aos discípulos;
12/07/2026; Jesus prometeu enviar o Espírito Santo;
19/07/2026; O Pentecostes;
26/07/2026; O melhor presente: O Espírito Santo;
02/08/2026; A fé e os dois ingredientes;
09/08/2026; Somos adotados / Dia dos pais;
16/08/2026; Nascidos de novo;
23/08/2026; Somos escolhidos;
30/08/2026; Somos chamados;
06/09/2026; Crescendo um pouco por vez;
13/09/2026; Tire o que é velho e vista-se do Novo;
20/09/2026; Aprendendo a dizer não para o pecado e sim para o Espírito Santo / Cosme e Damião;
27/09/2026; Dependentes do Espírito Santo;
04/10/2026; Os dons do Espírito;
11/10/2026; A igreja é o Templo de Deus e reunidos O adoramos;
18/10/2026; A ceia e o batismo;
25/10/2026; A igreja é feita de Pedras Vivas / Reforma Protestante;
01/11/2026; Deus escreveu a Bíblia através de pessoas;
08/11/2026; A Palavra de Deus é verdadeira;
15/11/2026; A Palavra de Deus vive para sempre;
22/11/2026; A Bíblia é o alimento;
29/11/2026; Deus fala com você e você fala com Deus / Thanksgiving;
06/12/2026; O retorno de Cristo;
13/12/2026; 0 julgamento final e o grande dia;
20/12/2026; Natal;
27/12/2026;Um novo Céu e uma nova terra;
07/01/2026; Deus está no controle;
14/01/2026; Deus sabe de tudo;
21/01/2026; Deus está em todo lugar;
28/01/2026; Deus criou tudo;
04/02/2026; Deus está no controle;
11/02/2026; Deus sabe de tudo;
18/02/2026; Deus está em todo lugar;
25/02/2026; Deus criou tudo;
04/03/2026; Nascemos no pecado;
11/03/2026; Tentação;
18/03/2026; Adão 1° homem a pecar;
25/03/2026; O pecado gera separação;
01/04/2026; O pecado endurece o coração;
08/04/2026; O pecado de espalha;
15/04/2026; Jesus a nossa salvação;
22/04/2026; A ressurreição de Jesus derrotou a morte;
29/04/2026; Jesus morreu no meu lugar;
06/05/2026; Deus faz e mantém Sua promessa;
13/05/2026; Os 10 Mandamentos e a desobediência da Lei;
20/05/2026; O pecado e a santidade são coisas distintas;
27/05/2026; Jesus cumpriu toda a lei com seu sacrifício;
03/06/2026; O Filho de Deus vem e desce do Seu Trono;
10/06/2026; Jesus é completamente Deus;
17/06/2026; Jesus é completamente humano;
24/06/2026; Jesus sempre amou Deus e as pessoas;
01/07/2026; Jesus meu escape e segurança;
08/07/2026; Jesus deu uma direção aos discípulos;
15/07/2026; Jesus prometeu enviar o Espírito Santo;
22/07/2026; O Pentecostes;
29/07/2026; O melhor presente: O Espírito Santo;
05/08/2026; A fé e os dois ingredientes;
12/08/2026; Somos adotados / Dia dos pais;
19/08/2026; Nascidos de novo;
26/08/2026; Somos escolhidos;
02/09/2026; Somos chamados;
09/09/2026; Crescendo um pouco por vez;
16/09/2026; Tire o que é velho e vista-se do Novo;
23/09/2026; Aprendendo a dizer não para o pecado e sim para o Espírito Santo / Cosme e Damião;
30/09/2026; Dependentes do Espírito Santo;
07/10/2026; Os dons do Espírito;
14/10/2026; A igreja é o Templo de Deus e reunidos O adoramos;
21/10/2026; A ceia e o batismo;
28/10/2026; A igreja é feita de Pedras Vivas / Reforma Protestante;
04/11/2026; Deus escreveu a Bíblia através de pessoas;
11/11/2026; A Palavra de Deus é verdadeira;
18/11/2026; A Palavra de Deus vive para sempre;
25/11/2026; A Bíblia é o alimento;
02/12/2026; Deus fala com você e você fala com Deus / Thanksgiving;
09/12/2026; O retorno de Cristo;
16/12/2026; 0 julgamento final e o grande dia;
23/12/2026; Natal;
30/12/2026;Um novo Céu e uma nova terra;
